 X: 0.88117868 | Y: 1.08723104 | Z: 0.51860821 | accel X: 0.00312781 | accel Y: 0.00066103 | accel Z: -0.02057821
 X: 0.87080199 | Y: 1.09165573 | Z: 0.51701450 | accel X: 0.00316044 | accel Y: 0.00160743 | accel Z: -0.02535504
 X: 0.88269401 | Y: 1.08594310 | Z: 0.51856840 | accel X: 0.00261458 | accel Y: 0.00051997 | accel Z: -0.02899581
 X: 0.87636936 | Y: 1.09096980 | Z: 0.51878077 | accel X: 0.00394599 | accel Y: -0.00162908 | accel Z: -0.02729064
 X: 0.88039589 | Y: 1.08622873 | Z: 0.51530743 | accel X: 0.00101636 | accel Y: 0.00032783 | accel Z: -0.02622485
 X: 0.87509435 | Y: 1.09224832 | Z: 0.51448202 | accel X: 0.00251814 | accel Y: 0.00385880 | accel Z: -0.02128506
 X: 0.88216168 | Y: 1.08584452 | Z: 0.51734263 | accel X: 0.00687122 | accel Y: 0.00008148 | accel Z: -0.02731526
 X: 0.87593412 | Y: 1.08895636 | Z: 0.51587820 | accel X: 0.00445578 | accel Y: 0.00068447 | accel Z: -0.02499211
 X: 0.88135487 | Y: 1.08469129 | Z: 0.52221513 | accel X: 0.00445578 | accel Y: 0.00068447 | accel Z: -0.02499211
 X: 0.87426484 | Y: 1.08802903 | Z: 0.52118385 | accel X: 0.00298996 | accel Y: 0.00105603 | accel Z: -0.02416450
 X: 0.88547498 | Y: 1.08323038 | Z: 0.51712835 | accel X: 0.00655580 | accel Y: 0.00196856 | accel Z: -0.02553958
 X: 0.87851101 | Y: 1.08683681 | Z: 0.51900399 | accel X: 0.00157719 | accel Y: 0.00108588 | accel Z: -0.02213585
 X: 0.87547624 | Y: 1.09120762 | Z: 0.51847214 | accel X: -0.00115273 | accel Y: 0.00021155 | accel Z: -0.02570474
 X: 0.87817723 | Y: 1.08746481 | Z: 0.51565224 | accel X: 0.00597953 | accel Y: -0.00046366 | accel Z: -0.02699018
 X: 0.88136679 | Y: 1.08783829 | Z: 0.51677269 | accel X: 0.00472147 | accel Y: 0.00106998 | accel Z: -0.02314001
 X: 0.87720841 | Y: 1.09229112 | Z: 0.51773936 | accel X: 0.00472147 | accel Y: 0.00106998 | accel Z: -0.02314001
 X: 0.87405813 | Y: 1.09059322 | Z: 0.51372212 | accel X: 0.00470445 | accel Y: 0.00144130 | accel Z: -0.02381486
